Código;Grupo/Família (Abrev.);Nome do produto;Unidade;Preco_Unit;Cobre_kg;Aluminio_kg;PVC_kg;Skin_kg;Embalagem_kg;Peso_Total_kg
V602;FLEXIVEL NBR 237;FLEXIVEL NBR 237 0.5MM ROLO 100M;RL;43.35866000000001;0.39;0.0;1.0;0.0;0.0133;1.4033000000000002
V603;FLEXIVEL NBR 237;FLEXIVEL NBR 237 0.5MM METRO;M;0.4335866000000001;0.0039000000000000003;0.0;0.01;0.0;0.00013299999999999998;0.014033000000000002
V604;FLEXIVEL NBR 237;FLEXIVEL NBR 237 0.75MM ROLO 100M;RL;61.95066;0.614;0.0;1.0;0.0;0.0133;1.6273
V605;FLEXIVEL NBR 237;FLEXIVEL NBR 237 0.75MM METRO;M;0.6195066;0.00614;0.0;0.01;0.0;0.00013299999999999998;0.016273
V606;FLEXIVEL NBR 237;FLEXIVEL NBR 237 1MM ROLO 100M;RL;75.81166;0.781;0.0;1.0;0.0;0.0133;1.7943000000000002
V607;FLEXIVEL NBR 237;FLEXIVEL NBR 237 1MM METRO;M;0.7581166;0.00781;0.0;0.01;0.0;0.00013299999999999998;0.017943
V608;FLEXIVEL NBR 237;FLEXIVEL NBR 237 1.5MM ROLO 100M;RL;111.84600499999999;1.228;0.0;0.9;0.0;0.0133;2.1413
V609;FLEXIVEL NBR 237;FLEXIVEL NBR 237 1.5MM METRO;M;1.11846005;0.01228;0.0;0.009000000000000001;0.0;0.00013299999999999998;0.021413
V610;FLEXIVEL NBR 237;FLEXIVEL NBR 237 2.5MM ROLO 100M;RL;176.98866;2.0;0.0;1.0;0.0;0.0133;3.0133
V611;FLEXIVEL NBR 237;FLEXIVEL NBR 237 2.5MM METRO;M;1.7698866000000002;0.02;0.0;0.01;0.0;0.00013299999999999998;0.030133
V612;FLEXIVEL NBR 237;FLEXIVEL NBR 237 4MM ROLO 100M;RL;278.00924395;3.126;0.0;1.709;0.0;0.0133;4.8483
V613;FLEXIVEL NBR 237;FLEXIVEL NBR 237 4MM METRO;M;2.7800924394999997;0.031259999999999996;0.0;0.01709;0.0;0.00013299999999999998;0.048483
V614;FLEXIVEL NBR 237;FLEXIVEL NBR 237 6MM ROLO 100M;RL;422.57251579999996;4.8;0.0;2.236;0.0;0.0133;7.0493
V615;FLEXIVEL NBR 237;FLEXIVEL NBR 237 6MM METRO;M;4.2257251579999995;0.048;0.0;0.02236;0.0;0.00013299999999999998;0.070493
V616;FLEXIVEL NBR 237;FLEXIVEL NBR 237 10MM ROLO 100M;RL;703.7637130999999;8.038;0.0;3.402;0.0;0.0133;11.4533
V617;FLEXIVEL NBR 237;FLEXIVEL NBR 237 10MM METRO;M;7.037637130999999;0.08038000000000001;0.0;0.03402;0.0;0.00013299999999999998;0.11453300000000001
V618;FLEXIVEL NBR 237;FLEXIVEL NBR 237 16MM ROLO 100M;RL;1057.167095;12.1;0.0;4.9;0.0;0.03;17.03
V619;FLEXIVEL NBR 237;FLEXIVEL NBR 237 16MM METRO;M;10.57167095;0.121;0.0;0.049;0.0;0.0003;0.1703
V620;PARALELO;PARALELO 2X0,75MM ROLO 100M;RL;106.15100000000001;1.1;0.0;1.5;0.0;0.03;2.63
V621;PARALELO;PARALELO 2X0,75MM METRO;M;1.0615100000000002;0.011000000000000001;0.0;0.015;0.0;0.0003;0.0263
V622;PARALELO;PARALELO 2X1,0MM ROLO 100M;RL;149.51100000000002;1.54;0.0;2.22;0.0;0.03;3.79
V623;PARALELO;PARALELO 2X1,0MM METRO;M;1.4951100000000002;0.0154;0.0;0.0222;0.0;0.0003;0.0379
V624;PARALELO;PARALELO 2X1,5MM ROLO 100M;RL;222.81100000000004;2.43;0.0;2.16;0.0;0.03;4.62
V625;PARALELO;PARALELO 2X1,5MM METRO;M;2.2281100000000005;0.024300000000000002;0.0;0.0216;0.0;0.0003;0.0462
V626;PARALELO;PARALELO 2X2,5MM ROLO 100M;RL;362.57349999999997;4.0;0.0;3.155;0.0;0.03;7.185
V627;PARALELO;PARALELO 2X2,5MM METRO;M;3.6257349999999997;0.04;0.0;0.031549999999999995;0.0;0.0003;0.07185
V628;PARALELO;PARALELO 2X4,0MM ROLO 100M;RL;545.715;6.2;0.0;3.212;0.0;0.03;9.442
V629;PARALELO;PARALELO 2X4,0MM METRO;M;5.45715;0.062;0.0;0.03212;0.0;0.0003;0.09442
V630;CABO DE CONTROLE PP;CABO DE CONTROLE PP 2X1,0MM ROLO 100M;RL;131.82879999999997;1.2;0.0;2.64;0.0;0.0;3.84
V631;CABO DE CONTROLE PP;CABO DE CONTROLE PP 2X1,0MM METRO;M;1.3182879999999997;0.012;0.0;0.0264;0.0;0.0;0.0384
V632;CABO DE CONTROLE PP;CABO DE CONTROLE PP 2X1,5MM ROLO 100M;RL;255.72;2.2;0.0;6.0;0.0;0.0;8.2
V633;CABO DE CONTROLE PP;CABO DE CONTROLE PP 2X1,5MM METRO;M;2.5572;0.022000000000000002;0.0;0.06;0.0;0.0;0.08199999999999999
V634;CABO DE CONTROLE PP;CABO DE CONTROLE PP 2X2,5MM ROLO 100M;RL;374.35400000000004;3.6;0.0;6.2;0.0;0.0;9.8
V635;CABO DE CONTROLE PP;CABO DE CONTROLE PP 2X2,5MM METRO;M;3.7435400000000003;0.036000000000000004;0.0;0.062;0.0;0.0;0.098
V636;CABO DE CONTROLE PP;CABO DE CONTROLE PP 2X4,0MM ROLO 100M;RL;613.715;6.0;0.0;9.5;0.0;0.0;15.5
V637;CABO DE CONTROLE PP;CABO DE CONTROLE PP 2X4,0MM METRO;M;6.13715;0.06;0.0;0.095;0.0;0.0;0.155
V638;CABO DE CONTROLE PP;CABO DE CONTROLE PP 2X6,0MM ROLO 100M;RL;915.9955000000001;9.4;0.0;11.15;0.0;0.0;20.55
V639;CABO DE CONTROLE PP;CABO DE CONTROLE PP 2X6,0MM METRO;M;9.159955000000002;0.094;0.0;0.1115;0.0;0.0;0.20550000000000002
V640;CABO DE CONTROLE PP;CABO DE CONTROLE PP 2X10,0MM ROLO 100M;RL;1495.705;15.6;0.0;16.5;0.0;0.0;32.1
V641;CABO DE CONTROLE PP;CABO DE CONTROLE PP 2X10,0MM METRO;M;14.957049999999999;0.156;0.0;0.165;0.0;0.0;0.321
V642;CABO DE CONTROLE PP;CABO DE CONTROLE PP 2X16,0MM ROLO 100M;RL;2245.4549999999995;23.9;0.0;21.5;0.0;0.0;45.4
V643;CABO DE CONTROLE PP;CABO DE CONTROLE PP 2X16,0MM METRO;M;22.454549999999994;0.239;0.0;0.215;0.0;0.0;0.45399999999999996
