Código;Grupo/Família (Abrev.);Nome do produto;Unidade;Preco_Unit;Cobre_kg;Aluminio_kg;PVC_kg;Skin_kg;Embalagem_kg;Peso_Total_kg
A034;CAM-XLPE;CABO ALUMINIO XLPE 0,6/1KV SINGELO 95,0MM DIV METRO;M;19.115384615384613;0.0;66.1;20.1;8.0;0.0;90.2
A035;CAM-XLPE;CABO ALUMINIO XLPE 0,6/1KV SINGELO 150,0MM DIV METRO;M;29.333333333333332;0.0;107.5;29.0;13.0;0.0;149.5
A037;CAM-XLPE;CABO ALUMINIO XLPE 0,6/1KV SINGELO 240,0MM 1KV DIV METRO;M;46.6025641025641;0.0;164.5;36.0;18.0;0.0;218.5
A038;CAM-XLPE;CABO ALUMINIO XLPE 0,6/1KV SINGELO 95,0MM 1KV DIV METRO;M;19.115384615384613;0.0;66.1;20.1;8.0;0.0;90.2
A022;CAM-XLPE;CABO ALUMINIO XLPE 0,6/1KV SINGELO 70MM DIV METRO;M;14.512820512820513;0.0;48.2;17.1;5.0;0.0;67.80000000000001
A039;CAM-XLPE;CABO ALUMINIO XLPE 0,6/1KV SINGELO 35,0MM 15KV DIV METRO;M;8.26923076923077;0.0;24.61;8.89;2.41;0.0;34.705
A001;CAM-DUPLEX;CABO ALUMINIO DUPLEX 1X1X10MM+10MM DIV METRO (NEUTRO ISOLADO);M;5.320512820512821;0.0;0.0;0.0;0.0;0.0;0.0
A002;CAM-DUPLEX;CABO ALUMINIO DUPLEX 1X1X16MM+16MM DIV METRO (NEUTRO ISOLADO);M;7.3076923076923075;0.0;0.0;0.0;0.0;0.0;0.0
A003;CAM-DUPLEX;CABO ALUMINIO DUPLEX 1X1X25MM+25MM DIV METRO (NEUTRO ISOLADO);M;10.320512820512821;0.0;0.0;0.0;0.0;0.0;0.0
A004;CAM-DUPLEX;CABO ALUMINIO DUPLEX 1X1X35MM+35MM DIV METRO (NEUTRO ISOLADO);M;13.782051282051281;0.0;0.0;0.0;0.0;0.0;0.0
A040;CAM-DUPLEX;CABO ALUMINIO DUPLEX 1X1X10MM+10MM DIV METRO (NEUTRO NÚ);M;5.320512820512821;0.0;0.0;0.0;0.0;0.0;0.0
A012;CAM-QUADRUPLEX;CABO ALUMINIO QUADRUPLEX 3X1X25MM+25MM DIV METRO (NEUTRO ISOLADO);M;6.371794871794871;0.0;0.0;0.0;0.0;0.0;0.0
A014;CAM-QUADRUPLEX;CABO ALUMINIO QUADRUPLEX 3X1X50MM+50MM DIV METRO;M;7.371794871794871;0.0;0.0;0.0;0.0;0.0;0.0
