Código;Grupo/Família (Abrev.);Nome do produto;Unidade;Preco_Unit;Cobre_kg;PVC_kg;Skin_kg;Embalagem_kg;Peso_Total_kg
A034;CAM-XLPE;CABO ALUMINIO XLPE 0,6/1KV SINGELO 95,0MM DIV METRO;M;13.5256;66.2;17.0;8.0;0.0;91.2
A034;CAM-XLPE;CABO ALUMINIO XLPE 0,6/1KV SINGELO 95,0MM DIV METRO;M;13.5256;66.0;23.2;0.0;0.0;89.2
A035;CAM-XLPE;CABO ALUMINIO XLPE 0,6/1KV SINGELO 150,0MM DIV METRO;M;0.0;107.5;29.0;13.0;0.0;149.5
A037;CAM-XLPE;CABO ALUMINIO XLPE 0,6/1KV SINGELO 240,0MM 1KV DIV METRO;M;0.0;164.5;36.0;18.0;0.0;218.5
A038;CAM-XLPE;CABO ALUMINIO XLPE 0,6/1KV SINGELO 95,0MM 1KV DIV METRO;M;13.5256;66.2;17.0;8.0;0.0;91.2
A038;CAM-XLPE;CABO ALUMINIO XLPE 0,6/1KV SINGELO 95,0MM 1KV DIV METRO;M;13.5256;66.0;23.2;0.0;0.0;89.2
A022;CAM-XLPE;CABO ALUMINIO XLPE 0,6/1KV SINGELO 70MM DIV METRO;M;10.1154;47.4;13.0;5.0;0.0;65.4
A022;CAM-XLPE;CABO ALUMINIO XLPE 0,6/1KV SINGELO 70MM DIV METRO;M;10.1154;49.0;21.2;0.0;0.0;70.2
A039;CAM-XLPE;CABO ALUMINIO XLPE 0,6/1KV SINGELO 35,0MM 15KV DIV METRO;M;5.5641;24.22;5.6;2.41;0.0;32.230000000000004
A039;CAM-XLPE;CABO ALUMINIO XLPE 0,6/1KV SINGELO 35,0MM 15KV DIV METRO;M;5.5641;25.0;12.18;0.0;0.0;37.18
A001;CAM-DUPLEX;CABO ALUMINIO DUPLEX 1X1X10MM+10MM DIV METRO (NEUTRO ISOLADO);M;5.3205;0.0;0.0;0.0;0.0;0.0
A002;CAM-DUPLEX;CABO ALUMINIO DUPLEX 1X1X16MM+16MM DIV METRO (NEUTRO ISOLADO);M;7.3077;0.0;0.0;0.0;0.0;0.0
A003;CAM-DUPLEX;CABO ALUMINIO DUPLEX 1X1X25MM+25MM DIV METRO (NEUTRO ISOLADO);M;10.3205;0.0;0.0;0.0;0.0;0.0
A004;CAM-DUPLEX;CABO ALUMINIO DUPLEX 1X1X35MM+35MM DIV METRO (NEUTRO ISOLADO);M;13.7821;0.0;0.0;0.0;0.0;0.0
A040;CAM-DUPLEX;CABO ALUMINIO DUPLEX 1X1X10MM+10MM DIV METRO (NEUTRO NÚ);M;5.3205;0.0;0.0;0.0;0.0;0.0
A012;CAM-QUADRUPLEX;CABO ALUMINIO QUADRUPLEX 3X1X25MM+25MM DIV METRO (NEUTRO ISOLADO);M;6.3718;0.0;0.0;0.0;0.0;0.0
A014;CAM-QUADRUPLEX;CABO ALUMINIO QUADRUPLEX 3X1X50MM+50MM DIV METRO;M;7.3718;0.0;0.0;0.0;0.0;0.0
A015;CAM-QUADRUPLEX;CABO ALUMINIO QUADRUPLEX 3X1X70MM+70MM DIV METRO;M;10.1154;0.0;0.0;0.0;0.0;0.0
A016;CAM-QUADRUPLEX;CABO ALUMINIO QUADRUPLEX 3X1X95MM+95MM DIV METRO;M;13.5256;0.0;0.0;0.0;0.0;0.0
